TEXT,SYMBOL,PAPER,SECTION,NOTE
NRAS,NRAS,MSB2015,Text,
MEK1,MAP2K1,MSB2015,Text,
MEK2,MAP2K2,MSB2015,Text,
AKT1,AKT1,MSB2015,Text,
IGF1R,IGF1R,MSB2015,Text,
PI3K,PIK3CA,MSB2015,Text,
COT,MAP3K8,MSB2015,Text,references Johanneson 2010 talks specifically about MAP3K8
PDGFRB,PDGFRB,MSB2015,Text,
NFKB,RELA,MSB2015,Text,"Uses an antibody that binds p65 S546, aka RELA S536 phosphosite"
AMPK,PRKAA1,MSB2015,Text,
p38,MAPK14,MSB2015,Text,
pH3,HIST1H3A,MSB2015,Text,neither the paper nor the Ab vendor specifiies which H3 gene…
pH3,HIST1H3B,MSB2015,Text,neither the paper nor the Ab vendor specifiies which H3 gene…
pH3,HIST1H3C,MSB2015,Text,neither the paper nor the Ab vendor specifiies which H3 gene…
pH3,HIST1H3D,MSB2015,Text,neither the paper nor the Ab vendor specifiies which H3 gene…
pH3,HIST1H3E,MSB2015,Text,neither the paper nor the Ab vendor specifiies which H3 gene…
pH3,HIST1H3F,MSB2015,Text,neither the paper nor the Ab vendor specifiies which H3 gene…
pH3,HIST1H3G,MSB2015,Text,neither the paper nor the Ab vendor specifiies which H3 gene…
pH3,HIST1H3H,MSB2015,Text,neither the paper nor the Ab vendor specifiies which H3 gene…
pH3,HIST1H3I,MSB2015,Text,neither the paper nor the Ab vendor specifiies which H3 gene…
pH3,HIST1H3J,MSB2015,Text,neither the paper nor the Ab vendor specifiies which H3 gene…
pH3,HIST2H3A,MSB2015,Text,neither the paper nor the Ab vendor specifiies which H3 gene…
pH3,HIST2H3C,MSB2015,Text,neither the paper nor the Ab vendor specifiies which H3 gene…
pH3,HIST2H3D,MSB2015,Text,neither the paper nor the Ab vendor specifiies which H3 gene…
pH3,H3F3A,MSB2015,Text,neither the paper nor the Ab vendor specifiies which H3 gene…
pH3,H3F3B,MSB2015,Text,neither the paper nor the Ab vendor specifiies which H3 gene…
Bim,BCL2L11,MSB2015,Text,
JNK,MAPK8,MSB2015,Text,does not specify which JNK
JNK,MAPK9,MSB2015,Text,does not specify which JNK
JNK,MAPK10,MSB2015,Text,does not specify which JNK
c-JUN,JUN,MSB2015,Text,"vendor claims c-Jun (JUN) as target, antibody registry claims JUND"
STAT3,STAT3,MSB2015,Text,
HSP27,HSPB1,MSB2015,Text,
p27,CDKN1B,MSB2015,Text,
TORC1,CRTC1,MSB2015,Text,
Rb,RB1,MSB2015,Text,
pS6,RPS6,MSB2015,Text,
cPARP,PARP1,MSB2015,Text,
NGFR,NGFR,MSB2017,Text,
MITF,MITF,MSB2017,Text,
AXL,AXL,MSB2017,Text,
EGFR,EGFR,MSB2017,Text,
S100B,S100B,MSB2017,Text,
CNTN6,CNTN6,MSB2017,Text,
L1CAM,L1CAM,MSB2017,Text,
FYN,FYN,MSB2017,Text,
MAP2,MAP2,MSB2017,Text,
NCAM1,NCAM1,MSB2017,Text,
Ki-67,MKI67,MSB2017,Text,
TSP1,THBS1,MSB2017,Text,
integrin B,ITGB1,MSB2017,Text,
FAK,PTK2,MSB2017,Text,
CLDN1,CLDN1,MSB2017,Fig4,
TUBA1A,TUBA1A,MSB2017,Fig4,
SPARC,SPARC,MSB2017,Fig4,
PLAT,PLAT,MSB2017,Fig4,
JUN,JUN,MSB2017,Fig4,
TGFBR2,TGFBR2,MSB2017,Fig4,
ACTA2,ACTA2,MSB2017,Fig4,
MET,MET,MSB2017,Fig4,
CALD1,CALD1,MSB2017,Fig4,
SNAI2,SNAI2,MSB2017,Fig4,
L1CAM,L1CAM,MSB2017,Fig4,
MMP15,MMP15,MSB2017,Fig4,
S100B,S100B,MSB2017,Fig4,
MAP2,MAP2,MSB2017,Fig4,
TGFB2,TGFB2,MSB2017,Fig4,
MYL6,MYL6,MSB2017,Fig4,
